Player,Pos,Squad,Age,Min,Goals,SoT%,G/Sh,ShoDist,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasCrs,TI,SCA,GCA,Tkl,TklWon,TklDri%,Blocks,Int,Clr,Err,Touches,TouAtt3rd,TouAttPen,CPA,Crs,PKwon,PKcon,Recov,AerWon%
Brenden Aaronson,MFFW,Leeds United,22,1596,-0.44048516208600685,0.185,-0.4189393363501671,0.28155786836660684,0.7490000000000001,0.8190000000000001,0.7659999999999999,0.381,-0.19214013045526535,0.1670001013546245,-0.8663779676143868,-0.6903134177067627,-0.47027453837951494,-0.09709368318556648,-0.5326135145741324,-0.003953558890720309,-0.23542958739053269,-0.5876803701707061,-0.9158726676242109,0.34600000000000003,-0.1081979856006628,-1.218691877904331,-0.9238760225933991,0.24775194971392528,-1.0603473223815636,-0.13868728189752155,-0.3125916469311695,-0.3093406924944747,-0.09709368318556648,-0.26125614678312814,-0.29652807864981884,-0.8146087814560499,0.222
Yunis Abdelhamid,DF,Reims,35,1980,-0.7550721648011315,0.053,-0.7945872394258988,-0.6991479885283465,0.815,0.845,0.9009999999999999,0.539,-0.4946918409912406,-0.9764444044017143,-0.6890137133661168,-0.9919581180284867,-0.6862389263272032,-0.7384358322692646,-0.5584090181389411,-0.990671924542244,-0.5471842429843498,-0.39792557814319046,-0.2865589214610381,0.784,-0.01798179529666433,0.11284023701812713,-0.16761989893641857,0.04709474614055637,-0.9759901953371585,-1.1740696388248346,-0.7517781700722301,-0.6197424545584082,-0.7384358322692646,-0.26125614678312814,-0.29652807864981884,-0.7040607966296334,0.64
Himad Abdelli,MFFW,Angers,23,770,-0.7550721648011315,0.33299999999999996,-0.7945872394258988,0.3172198995264232,0.8079999999999999,0.841,0.826,0.745,-0.6696456562142176,1.1966157105365012,1.0504661781914733,1.8322557741455743,0.7380551363360628,-0.19447329889824455,-0.29524126525778094,0.6953040443388999,-0.8824675518305303,1.6336462437061638,1.0347923490526358,0.609,1.099956486243809,0.3835140437454335,-0.32065509199049824,-0.36348076270956775,0.8848708359898411,0.6427241627353653,-0.335931896562519,0.2349395765770976,-0.19447329889824455,-0.26125614678312814,-0.29652807864981884,1.8830506000541865,0.47100000000000003
Salis Abdul Samed,MF,Lens,22,1799,-0.47598330636125435,0.25,-0.04329143327443544,0.513361070905414,0.9159999999999999,0.932,0.943,0.779,-0.6696456562142176,-0.8078462097384244,0.19755118052240594,-0.6599952792356822,-0.5120617758069593,-0.6941387165722916,-0.5557598335297947,-0.8078205850154725,-0.8824675518305303,-0.7441070338372978,-0.7529833239611442,0.654,-0.5585378836139097,-0.4329815777916873,-0.766547194182283,-0.36348076270956775,-0.5833293568962538,-0.7114712868724408,-0.8219856970095968,-0.5623661081773359,-0.6941387165722916,-0.26125614678312814,-0.29652807864981884,-0.5910945147232082,0.5
Laurent Abergel,MF,Lorient,30,1165,-0.7550721648011315,0.0,-0.7945872394258988,1.1552776317821105,0.873,0.924,0.8859999999999999,0.667,-0.19389141876667157,-0.5050443950472099,0.1953108214177377,-0.6229580247071657,-0.6862389263272032,-0.69291107089272,-0.5702940134303484,-0.7057943706011657,-0.6292063399982222,1.215949933610365,0.9250959012539224,0.405,0.08306687692540145,0.09313390178946063,-0.24897124282679892,-0.36348076270956775,-0.3585791122638132,-0.9334654558066088,-0.9053648237102503,-0.6885099743049431,-0.69291107089272,-0.26125614678312814,-0.29652807864981884,0.09683281095320656,0.444
Zakaria Aboukhlal,FWMF,Toulouse,22,1507,0.910756821042727,0.37,0.2384444940323633,0.12107872814743291,0.6970000000000001,0.79,0.718,0.28600000000000003,0.4337127113233891,-0.7121006758447966,-1.1415005876509097,-0.6944656299965378,-0.5614832420063331,-0.5050254230073514,-0.43496122033111273,-0.42105905923086584,-0.29510993049415557,-0.8065306135470393,-0.709926835894061,0.22699999999999998,-1.0464054583024693,-0.5069882148514254,-0.7704827337081239,-0.36348076270956775,-1.1455441752978215,-0.22965438572785773,0.4433322917429891,0.45594217914104,-0.5050254230073514,-0.26125614678312814,-0.29652807864981884,-0.8524223332804924,0.24100000000000002
Tammy Abraham,FW,Roma,25,1582,1.1491535861470565,0.46799999999999997,0.4262684455702292,-1.037937284546603,0.6859999999999999,0.7809999999999999,0.628,0.696,0.07484807582186405,-0.06986778667782875,-1.1982232542151559,-0.5420100453620303,-0.5673977023881696,-0.7016444346265975,-0.5603773296220945,-0.19494594463445392,0.3064953828262794,-1.0395955670356414,-1.0026970527319452,0.33299999999999996,-1.0945513753120397,-1.1230345791125915,-0.8601788575122458,-0.36348076270956775,-1.3352858975393844,-0.5614641388244155,0.3368266904948414,-0.08603347387069876,-0.7016444346265975,0.465527633545803,-0.29652807864981884,-1.48238757507205,0.517
Francesco Acerbi,DF,Inter,35,1110,-0.7550721648011315,0.0,-0.7945872394258988,0.06758568140770806,0.877,0.9209999999999999,0.9009999999999999,0.74,-0.17031801060485618,-0.6131181724949851,-0.06450020298431591,-0.7741598999825675,-0.6862389263272032,-0.6848796755087974,-0.4360256882463423,-0.8116103078440322,-0.8824675518305303,-0.47175455040696346,-0.6634025472186693,0.833,-0.8385796747343127,-0.06134361730116139,0.7265609398175836,-0.36348076270956775,0.1333480864457731,-1.0722831839296016,-0.7992198469256684,-0.5794731862383652,-0.6848796755087974,-0.26125614678312814,-0.29652807864981884,-0.3044350220292191,0.63
Marcos Acuña,DF,Sevilla,31,985,0.264381350596511,0.25,0.4262684455702292,1.618884036859725,0.7390000000000001,0.893,0.77,0.483,-0.03661479585412628,1.1946529414965077,-0.23434707692537796,1.798790834386869,2.813041917982547,2.5247476755710276,1.5719009754391338,0.4671138411279965,-0.20849704267780195,1.287353979575151,0.9675184605925112,0.7140000000000001,-0.1530835592891019,0.7731724013272644,-0.26707319321005824,-0.36348076270956775,0.6761307863116625,0.6984926167911728,-0.2625779043492018,-0.25845117061087675,2.5247476755710276,-0.26125614678312814,1.253199052140441,0.8303728746972452,0.565
Che Adams,FW,Southampton,26,1577,0.5184366654673249,0.361,0.2384444940323633,-0.520837832729264,0.6579999999999999,0.743,0.632,0.71,-0.18638705183166346,-0.2326196337006144,-1.0951606871877977,-0.5889266404292558,-0.467672557801832,-0.6390699070457242,-0.532159532660202,-0.3540288872003824,-0.20424703488740034,-0.9769700248660791,-0.7622924006877078,0.778,-1.0931825447057857,-1.0704752015722305,-0.6447480172765675,-0.36348076270956775,-1.3100357257836026,-0.3582573719062677,0.3162123387053653,-0.24721174993275932,-0.6390699070457242,-0.26125614678312814,-0.29652807864981884,-1.3855840739209044,0.371
