Player,Pos,Squad,Age,Min,Goals,SoT%,G/Sh,ShoDist,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasCrs,TI,SCA,GCA,Tkl,TklWon,TklDri%,Blocks,Int,Clr,Err,Touches,TouAtt3rd,TouAttPen,CPA,Crs,PKwon,PKcon,Recov,AerWon%,Rankings
Yunis Abdelhamid,DF,Reims,34,2983,-0.56672181850812,0.33299999999999996,0.19447872540981936,0.4132936749808602,0.8240000000000001,0.899,0.894,0.617,-0.7032432895370804,-0.9269762581656127,-0.7202261046634854,-0.9313231542607191,-0.7203526137949592,-0.8062654717755293,-0.4571663243834384,-0.9899349396525402,-0.8568896502697846,-0.6686250221037574,-0.5368780410921066,0.48100000000000004,-0.5737551013252931,-0.06024487324203213,-0.15651207792263924,-0.30744497024378353,-0.8947461640271173,-1.051706860804998,-0.7617600030022869,-0.6291731704793211,-0.8062654717755293,-0.24462199880978383,0.0007544662123030233,-0.9267060898659562,0.598,116
Tammy Abraham,FW,Roma,24,3084,0.3224619141313516,0.344,0.6586963918732349,-0.8473030203196658,0.72,0.762,0.6920000000000001,0.8,-0.36497046956430373,-0.559312296327339,-0.9822168505116013,-0.6081575434510569,-0.5423937299427585,-0.6197049339109428,-0.4971901197768356,-0.5874790099721887,-0.3457187009883267,-0.9455956626500509,-0.9078604525043501,0.435,-0.940812573177133,-1.0353380123768037,-0.678820908538614,-0.30744497024378353,-1.1973906821156497,-0.7011340850070577,-0.06474817225659618,-0.24389111511208716,-0.6197049339109428,0.02504569843545791,-0.007172068766016828,-1.2039027338605899,0.45299999999999996,11
Luis Abram,DF,Granada,26,560,-0.6926610419727555,0.0,-1.0821198573645736,-1.8557803765600864,0.882,0.9129999999999999,0.927,0.75,-0.7032432895370804,-1.0451652518655983,0.10404537305508979,-1.026194326203065,-0.7203526137949592,-0.8244052897142506,-0.32566830259343393,-0.5123354422369324,0.505435559933572,0.5909074647821264,1.2805889097014116,0.75,3.058553174103118,2.2348737059558017,6.6385052209411475,5.568352275547194,1.3434419487699065,-0.9590521070750401,-0.2605373287928162,-0.6291731704793211,-0.8244052897142506,-0.24462199880978383,-0.2412795325316411,0.3384188157053613,0.444,83
Francesco Acerbi,DF,Lazio,34,2536,-0.34700687199837904,0.43799999999999994,1.819240558031774,-1.4291168796891394,0.903,0.9309999999999999,0.9440000000000001,0.7709999999999999,-0.7032432895370804,-0.9235217001380057,-0.2274749379773712,-0.8960020981977992,-0.7203526137949592,-0.8101805060888023,-0.4953441352180474,-0.9594953015115856,-0.7701779118086944,-0.893495383471216,-0.9623547022053149,0.45,-0.523207830973873,-0.46357353480547114,0.20204483507394047,0.016928694744677317,-0.46299223006896584,-1.0574871949414713,-0.7519973512127123,-0.6291731704793211,-0.8101805060888023,0.19263098662887315,-0.2412795325316411,-0.42606002151234484,0.64,31
Marcos Acuña,DF,Sevilla,30,2260,-0.5818419553665585,0.294,-0.3857933576694502,1.0726827155995973,0.794,0.9309999999999999,0.8490000000000001,0.58,-0.24163560068927367,0.01432804123451721,-0.16811404594617005,0.13558339960743163,1.14144377992249,1.1468979546910363,0.7429037634621813,-0.28566084295906957,-0.6441800205376512,-0.31073459901875466,-0.22127977346175126,0.6,-0.5669423857093604,-0.595414348209711,-0.518871254323651,-0.30744497024378353,-0.20866943134483182,-0.13415797587762843,-0.7090556063150815,-0.4408424571649559,1.1468979546910363,-0.24462199880978383,0.18467174667377795,-0.49599128504328527,0.47100000000000003,12
Tyler Adams,MF,RB Leipzig,23,1351,-0.6926610419727555,0.0,-1.0821198573645736,0.5490502421670707,0.867,0.9129999999999999,0.898,0.723,-0.25279709921063676,-0.4688772641104165,0.8523135962737671,-0.24648187881556588,-0.7203526137949592,-0.6908965877374289,-0.28995615625153065,-0.23212635905077722,0.08109558953436063,-0.07674375393757836,-0.06888955842220007,0.28600000000000003,0.5308125973467765,0.037188143041592917,-0.2155637459526994,0.7581141157804869,0.26480908851232654,-0.30490283656061684,-0.6068295887310202,-0.3666346730141931,-0.6908965877374289,-0.24462199880978383,-0.2412795325316411,0.5052253981961361,0.657,13
Amine Adli,FWMF,Leverkusen,22,1256,0.3542087530770278,0.5,-0.15368452443774236,-0.24609536563787615,0.754,0.841,0.7509999999999999,0.452,0.2657898364677371,0.042542830779581466,-0.22947220333891724,0.400826218429722,1.3552203874398248,0.5111388060241104,-0.3275438165274384,0.831869193060466,1.060803194704624,0.7174846281425825,0.8399426893930477,0.586,1.012120536437225,-0.14606103633341555,-0.5704735067126491,-0.30744497024378353,-0.05102591100838329,0.32952945674210443,0.7610271395852242,1.291120355406537,0.5111388060241104,-0.24462199880978383,-0.2412795325316411,-0.16628982320089927,0.35200000000000004,30
Yacine Adli,MFFW,Bordeaux,21,2260,-0.5818419553665585,0.455,-0.733956607517012,0.6460192187286495,0.736,0.845,0.815,0.568,0.37384131777446905,0.4303254078505139,-0.07953261412399702,0.05210236541745589,-0.39656193662670725,-0.20587896808911005,-0.4461142869176218,0.19526320375623105,0.23052748634262735,-0.4710010823479065,-0.34830687851708597,0.22399999999999998,-0.4640184521447763,-0.15911608685005668,-0.6964395529553811,0.0565424697609672,-0.6087321295191449,-0.32627061154886966,-0.4512786428006885,-0.15834638719340813,-0.20587896808911005,-0.24462199880978383,-0.2412795325316411,-0.7811750708751913,0.545,119
Felix Afena-Gyan,FWMF,Roma,19,668,1.8380951948199629,0.389,0.19447872540981936,-0.30427675157482365,0.762,0.8109999999999999,0.8079999999999999,0.556,-0.7032432895370804,0.45021450350365516,-0.8356426169214775,0.8802475548868767,1.1282352530469888,0.6336776210667453,-0.1298869427484968,2.440123952182086,2.1267309904044995,0.2277175993878561,-0.045381461820756266,0.444,-0.11891511921370473,-0.08691169602821473,-0.874007851587111,-0.30744497024378353,0.6028810627867548,2.297664478079865,3.6567565806737927,1.892945351763332,0.6336776210667453,-0.24462199880978383,-0.2412795325316411,0.8814932768824901,0.33299999999999996,11
Nayef Aguerd,DF,Rennes,26,2735,-0.5324089441564815,0.28,-0.15368452443774236,-1.5454796515630338,0.9,0.934,0.955,0.784,-0.4807376942423728,-0.9914544401338712,-0.43482098748266396,-0.9859545345855935,-0.7203526137949592,-0.8013231728112379,-0.4822966377609893,-1.040656990019878,-0.6716845344651481,-0.9085036775383507,-1.0010566742113962,0.389,-0.8818576350884578,-0.4847292035756487,0.348735460136563,0.21890615415065498,-0.5302948613719607,-1.0769412563102405,-0.7032748675842285,-0.6291731704793211,-0.8013231728112379,0.05945667698704454,0.3746756079646779,-0.7931206483628225,0.701,49
